sample,fastq_1,fastq_2,strandedness
mESC_DMSO_REP1,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-DMSO_mESC_rep1_R1.fastq.gz,,auto
mESC_DMSO_REP2,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-DMSO_mESC_rep2_R1.fastq.gz,,auto
mESC_100nMA485_REP1,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-A-485_100nM_mESC_rep1_R1.fastq.gz,,auto
mESC_100nMA485_REP2,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-A-485_100nM_mESC_rep2_R1.fastq.gz,,auto
mESC_1000nMA485_REP1,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-A-485_1000nM_mESC_rep1_R1.fastq.gz,,auto
mESC_1000nMA485_REP2,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-A-485_1000nM_mESC_rep2_R1.fastq.gz,,auto
mESC_100nnMGNE049_REP1,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-GNE049_100nM_mESC_rep1_R1.fastq.gz,,auto
mESC_100nnMGNE049_REP2,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-GNE049_100nM_mESC_rep2_R1.fastq.gz,,auto
mESC_1000nnMGNE049_REP1,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-GNE049_1000nM_mESC_rep1_R1.fastq.gz,,auto
mESC_1000nnMGNE049_REP2,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-GNE049_1000nM_mESC_rep2_R1.fastq.gz,,auto
CAd8_DMSO_REP1,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-DMSO_CAd8_rep1_R1.fastq.gz,,auto
CAd8_DMSO_REP2,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-DMSO_CAd8_rep2_R1.fastq.gz,,auto
CAd8_100nMA485_REP1,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-A-485_100nM_CAd8_rep1_R1.fastq.gz,,auto
CAd8_100nMA485_REP2,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-A-485_100nM_CAd8_rep2_R1.fastq.gz,,auto
CAd8_1000nMA485_REP1,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-A-485_1000nM_CAd8_rep1_R1.fastq.gz,,auto
CAd8_1000nMA485_REP2,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-A-485_1000nM_CAd8_rep2_R1.fastq.gz,,auto
CAd8_100nnMGNE049_REP1,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-GNE049_100nM_CAd8_rep1_R1.fastq.gz,,auto
CAd8_100nnMGNE049_REP2,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-GNE049_100nM_CAd8_rep2_R1.fastq.gz,,auto
CAd8_1000nnMGNE049_REP1,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-GNE049_1000nM_CAd8_rep1_R1.fastq.gz,,auto
CAd8_1000nnMGNE049_REP2,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-GNE049_1000nM_CAd8_rep2_R1.fastq.gz,,auto
mESC_untreated_REP1,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-Untreated_mESC_rep1_R1.fastq.gz,,auto
mESC_untreated_REP2,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-Untreated_mESC_rep2_R1.fastq.gz,,auto
CAd8_untreated_REP1,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-Untreated_CAd8_rep1_R1.fastq.gz,,auto
CAd8_untreated_REP2,/hpc/shared/uu_epigenetics/davide/rna_seq/xDR026/fasta/20210305.B-Untreated_CAd8_rep2_R1.fastq.gz,,auto
